study	sample	body_site	country
FengQ_2015	SID31004	Stool	Austria
FengQ_2015	SID31009	Stool	Austria
FengQ_2015	SID31021	Stool	Austria
FengQ_2015	SID31030	Stool	Austria
FengQ_2015	SID31071	Stool	Austria
FengQ_2015	SID31112	Stool	Austria
FengQ_2015	SID31129	Stool	Austria
FengQ_2015	SID31137	Stool	Austria
FengQ_2015	SID31159	Stool	Austria
FengQ_2015	SID31160	Stool	Austria
FengQ_2015	SID31188	Stool	Austria
FengQ_2015	SID31219	Stool	Austria
FengQ_2015	SID31223	Stool	Austria
FengQ_2015	SID31233	Stool	Austria
FengQ_2015	SID31236	Stool	Austria
FengQ_2015	SID31237	Stool	Austria
FengQ_2015	SID31256	Stool	Austria
FengQ_2015	SID31267	Stool	Austria
FengQ_2015	SID31275	Stool	Austria
FengQ_2015	SID31276	Stool	Austria
FengQ_2015	SID31282	Stool	Austria
FengQ_2015	SID31285	Stool	Austria
FengQ_2015	SID31300	Stool	Austria
FengQ_2015	SID31328	Stool	Austria
FengQ_2015	SID31333	Stool	Austria
FengQ_2015	SID31337	Stool	Austria
FengQ_2015	SID31343	Stool	Austria
FengQ_2015	SID31360	Stool	Austria
FengQ_2015	SID31367	Stool	Austria
FengQ_2015	SID31379	Stool	Austria
FengQ_2015	SID31398	Stool	Austria
FengQ_2015	SID31416	Stool	Austria
FengQ_2015	SID31424	Stool	Austria
FengQ_2015	SID31428	Stool	Austria
FengQ_2015	SID31431	Stool	Austria
FengQ_2015	SID31446	Stool	Austria
FengQ_2015	SID31449	Stool	Austria
FengQ_2015	SID31450	Stool	Austria
FengQ_2015	SID31452	Stool	Austria
FengQ_2015	SID31455	Stool	Austria
FengQ_2015	SID31477	Stool	Austria
FengQ_2015	SID31489	Stool	Austria
FengQ_2015	SID31493	Stool	Austria
FengQ_2015	SID31501	Stool	Austria
FengQ_2015	SID31512	Stool	Austria
FengQ_2015	SID31519	Stool	Austria
FengQ_2015	SID31537	Stool	Austria
FengQ_2015	SID31549	Stool	Austria
FengQ_2015	SID31557	Stool	Austria
FengQ_2015	SID31582	Stool	Austria
FengQ_2015	SID31637	Stool	Austria
FengQ_2015	SID31685	Stool	Austria
FengQ_2015	SID31700	Stool	Austria
FengQ_2015	SID31705	Stool	Austria
FengQ_2015	SID31711	Stool	Austria
FengQ_2015	SID31714	Stool	Austria
FengQ_2015	SID31723	Stool	Austria
FengQ_2015	SID31749	Stool	Austria
FengQ_2015	SID31750	Stool	Austria
FengQ_2015	SID31766	Stool	Austria
FengQ_2015	SID31865	Stool	Austria
FengQ_2015	SID31866	Stool	Austria
FengQ_2015	SID31868	Stool	Austria
FengQ_2015	SID31870	Stool	Austria
FengQ_2015	SID31871	Stool	Austria
FengQ_2015	SID31872	Stool	Austria
FengQ_2015	SID31873	Stool	Austria
FengQ_2015	SID31874	Stool	Austria
FengQ_2015	SID31875	Stool	Austria
FengQ_2015	SID31876	Stool	Austria
FengQ_2015	SID31877	Stool	Austria
FengQ_2015	SID31878	Stool	Austria
FengQ_2015	SID31879	Stool	Austria
FengQ_2015	SID31880	Stool	Austria
FengQ_2015	SID31881	Stool	Austria
FengQ_2015	SID31883	Stool	Austria
FengQ_2015	SID31884	Stool	Austria
FengQ_2015	SID530002	Stool	Austria
FengQ_2015	SID530018	Stool	Austria
FengQ_2015	SID530026	Stool	Austria
FengQ_2015	SID530028	Stool	Austria
FengQ_2015	SID530039	Stool	Austria
FengQ_2015	SID530041	Stool	Austria
FengQ_2015	SID530050	Stool	Austria
FengQ_2015	SID530052	Stool	Austria
FengQ_2015	SID530054	Stool	Austria
FengQ_2015	SID530055	Stool	Austria
FengQ_2015	SID530074	Stool	Austria
FengQ_2015	SID530075	Stool	Austria
FengQ_2015	SID530119	Stool	Austria
FengQ_2015	SID530142	Stool	Austria
FengQ_2015	SID530154	Stool	Austria
FengQ_2015	SID530163	Stool	Austria
FengQ_2015	SID530167	Stool	Austria
FengQ_2015	SID530168	Stool	Austria
FengQ_2015	SID530172	Stool	Austria
FengQ_2015	SID530177	Stool	Austria
FengQ_2015	SID530185	Stool	Austria
FengQ_2015	SID530215	Stool	Austria
FengQ_2015	SID530227	Stool	Austria
FengQ_2015	SID530251	Stool	Austria
FengQ_2015	SID530258	Stool	Austria
FengQ_2015	SID530262	Stool	Austria
FengQ_2015	SID530295	Stool	Austria
FengQ_2015	SID530297	Stool	Austria
FengQ_2015	SID530315	Stool	Austria
FengQ_2015	SID530323	Stool	Austria
FengQ_2015	SID530331	Stool	Austria
FengQ_2015	SID530348	Stool	Austria
FengQ_2015	SID530364	Stool	Austria
FengQ_2015	SID530368	Stool	Austria
FengQ_2015	SID530373	Stool	Austria
FengQ_2015	SID530394	Stool	Austria
FengQ_2015	SID530398	Stool	Austria
FengQ_2015	SID530403	Stool	Austria
FengQ_2015	SID530444	Stool	Austria
FengQ_2015	SID530450	Stool	Austria
FengQ_2015	SID530451	Stool	Austria
FengQ_2015	SID530558	Stool	Austria
FengQ_2015	SID530600	Stool	Austria
FengQ_2015	SID530623	Stool	Austria
FengQ_2015	SID530697	Stool	Austria
FengQ_2015	SID530705	Stool	Austria
FengQ_2015	SID530743	Stool	Austria
FengQ_2015	SID530756	Stool	Austria
FengQ_2015	SID530840	Stool	Austria
FengQ_2015	SID530867	Stool	Austria
FengQ_2015	SID530890	Stool	Austria
FengQ_2015	SID531128	Stool	Austria
FengQ_2015	SID531155	Stool	Austria
FengQ_2015	SID531248	Stool	Austria
FengQ_2015	SID531274	Stool	Austria
FengQ_2015	SID531277	Stool	Austria
FengQ_2015	SID531281	Stool	Austria
FengQ_2015	SID531333	Stool	Austria
FengQ_2015	SID531352	Stool	Austria
FengQ_2015	SID531361	Stool	Austria
FengQ_2015	SID531382	Stool	Austria
FengQ_2015	SID531403	Stool	Austria
FengQ_2015	SID531414	Stool	Austria
FengQ_2015	SID531416	Stool	Austria
FengQ_2015	SID531424	Stool	Austria
FengQ_2015	SID531469	Stool	Austria
FengQ_2015	SID531663	Stool	Austria
FengQ_2015	SID531766	Stool	Austria
FengQ_2015	SID531775	Stool	Austria
FengQ_2015	SID532305	Stool	Austria
FengQ_2015	SID532749	Stool	Austria
FengQ_2015	SID532779	Stool	Austria
FengQ_2015	SID532796	Stool	Austria
FengQ_2015	SID532802	Stool	Austria
FengQ_2015	SID532826	Stool	Austria
FengQ_2015	SID532832	Stool	Austria
FengQ_2015	SID532915	Stool	Austria
DavidLA_2015	LD-Run2-37	Stool	Bangladesh
DavidLA_2015	LD-Run2-36	Stool	Bangladesh
DavidLA_2015	LD-Run2-35	Stool	Bangladesh
DavidLA_2015	LD-Run2-34	Stool	Bangladesh
DavidLA_2015	LD-Run2-33	Stool	Bangladesh
DavidLA_2015	LD-Run2-32	Stool	Bangladesh
DavidLA_2015	LD-Run2-30	Stool	Bangladesh
DavidLA_2015	LD-Run2-29	Stool	Bangladesh
DavidLA_2015	LD-Run2-28	Stool	Bangladesh
DavidLA_2015	LD-Run2-27	Stool	Bangladesh
DavidLA_2015	LD-Run2-26	Stool	Bangladesh
DavidLA_2015	LD-Run2-25	Stool	Bangladesh
DavidLA_2015	LD-Run2-24	Stool	Bangladesh
DavidLA_2015	LD-Run2-23	Stool	Bangladesh
DavidLA_2015	LD-Run2-22	Stool	Bangladesh
DavidLA_2015	LD-Run2-21	Stool	Bangladesh
DavidLA_2015	LD-Run2-20	Stool	Bangladesh
DavidLA_2015	LD-Run2-19	Stool	Bangladesh
DavidLA_2015	LD-Run2-18	Stool	Bangladesh
DavidLA_2015	LD-Run2-16	Stool	Bangladesh
DavidLA_2015	LD-Run2-15	Stool	Bangladesh
DavidLA_2015	LD-Run2-14	Stool	Bangladesh
DavidLA_2015	LD-Run2-13	Stool	Bangladesh
DavidLA_2015	LD-Run2-12	Stool	Bangladesh
DavidLA_2015	LD-Run2-11	Stool	Bangladesh
DavidLA_2015	LD-Run2-10	Stool	Bangladesh
DavidLA_2015	LD-Run2-09	Stool	Bangladesh
DavidLA_2015	LD-Run2-08	Stool	Bangladesh
DavidLA_2015	LD-Run2-07	Stool	Bangladesh
DavidLA_2015	LD-Run2-06	Stool	Bangladesh
DavidLA_2015	LD-Run2-05	Stool	Bangladesh
DavidLA_2015	LD-Run2-04	Stool	Bangladesh
DavidLA_2015	LD-Run2-03	Stool	Bangladesh
DavidLA_2015	LD-Run2-02	Stool	Bangladesh
DavidLA_2015	LD-Run2-01	Stool	Bangladesh
DavidLA_2015	LD-Run1-12	Stool	Bangladesh
DavidLA_2015	LD-Run1-11	Stool	Bangladesh
DavidLA_2015	LD-Run1-10	Stool	Bangladesh
DavidLA_2015	LD-Run1-09	Stool	Bangladesh
DavidLA_2015	LD-Run1-08	Stool	Bangladesh
DavidLA_2015	LD-Run1-07	Stool	Bangladesh
DavidLA_2015	LD-Run1-06	Stool	Bangladesh
DavidLA_2015	LD-Run1-05	Stool	Bangladesh
DavidLA_2015	LD-Run1-04	Stool	Bangladesh
DavidLA_2015	LD-Run1-03	Stool	Bangladesh
DavidLA_2015	LD-Run1-02	Stool	Bangladesh
DavidLA_2015	LD-Run1-01	Stool	Bangladesh
ChngKR_2016	WBU013	Skin	Brunei
ChngKR_2016	WBU014	Skin	Brunei
HanniganGD_2017	MG100208	Stool	Canada
HanniganGD_2017	MG100207	Stool	Canada
HanniganGD_2017	MG100206	Stool	Canada
HanniganGD_2017	MG100205	Stool	Canada
HanniganGD_2017	MG100204	Stool	Canada
HanniganGD_2017	MG100203	Stool	Canada
HanniganGD_2017	MG100202	Stool	Canada
HanniganGD_2017	MG100201	Stool	Canada
HanniganGD_2017	MG100200	Stool	Canada
HanniganGD_2017	MG100198	Stool	Canada
HanniganGD_2017	MG100197	Stool	Canada
HanniganGD_2017	MG100196	Stool	Canada
HanniganGD_2017	MG100195	Stool	Canada
HanniganGD_2017	MG100194	Stool	Canada
HanniganGD_2017	MG100193	Stool	Canada
HanniganGD_2017	MG100192	Stool	Canada
HanniganGD_2017	MG100191	Stool	Canada
HanniganGD_2017	MG100190	Stool	Canada
HanniganGD_2017	MG100189	Stool	Canada
HanniganGD_2017	MG100188	Stool	Canada
HanniganGD_2017	MG100185	Stool	Canada
HanniganGD_2017	MG100181	Stool	Canada
HanniganGD_2017	MG100160	Stool	Canada
HanniganGD_2017	MG100154	Stool	Canada
HanniganGD_2017	MG100153	Stool	Canada
HanniganGD_2017	MG100152	Stool	Canada
HanniganGD_2017	MG100150	Stool	Canada
RaymondF_2016	P10E0	Stool	Canada
RaymondF_2016	P10E7	Stool	Canada
RaymondF_2016	P10E90	Stool	Canada
RaymondF_2016	P11E0	Stool	Canada
RaymondF_2016	P11E7	Stool	Canada
RaymondF_2016	P11E90	Stool	Canada
RaymondF_2016	P12E0	Stool	Canada
RaymondF_2016	P12E7	Stool	Canada
RaymondF_2016	P12E90	Stool	Canada
RaymondF_2016	P13E0	Stool	Canada
RaymondF_2016	P13E7	Stool	Canada
RaymondF_2016	P13E90	Stool	Canada
RaymondF_2016	P14E0	Stool	Canada
RaymondF_2016	P14E7	Stool	Canada
RaymondF_2016	P14E90	Stool	Canada
RaymondF_2016	P15E0	Stool	Canada
RaymondF_2016	P15E7	Stool	Canada
RaymondF_2016	P15E90	Stool	Canada
RaymondF_2016	P17E0	Stool	Canada
RaymondF_2016	P17E7	Stool	Canada
RaymondF_2016	P17E90	Stool	Canada
RaymondF_2016	P18E0	Stool	Canada
RaymondF_2016	P18E7	Stool	Canada
RaymondF_2016	P18E90	Stool	Canada
RaymondF_2016	P19E0	Stool	Canada
RaymondF_2016	P19E7	Stool	Canada
RaymondF_2016	P19E90	Stool	Canada
RaymondF_2016	P1E0	Stool	Canada
RaymondF_2016	P1E7	Stool	Canada
RaymondF_2016	P1E90	Stool	Canada
RaymondF_2016	P20E0	Stool	Canada
RaymondF_2016	P20E7	Stool	Canada
RaymondF_2016	P20E90	Stool	Canada
RaymondF_2016	P21E0	Stool	Canada
RaymondF_2016	P21E7	Stool	Canada
RaymondF_2016	P21E90	Stool	Canada
RaymondF_2016	P22E0	Stool	Canada
RaymondF_2016	P22E7	Stool	Canada
RaymondF_2016	P22E90	Stool	Canada
RaymondF_2016	P23C0	Stool	Canada
RaymondF_2016	P23C7	Stool	Canada
RaymondF_2016	P23C90	Stool	Canada
RaymondF_2016	P25C0	Stool	Canada
RaymondF_2016	P25C7	Stool	Canada
RaymondF_2016	P25C90	Stool	Canada
RaymondF_2016	P2E0	Stool	Canada
RaymondF_2016	P2E7	Stool	Canada
RaymondF_2016	P2E90	Stool	Canada
RaymondF_2016	P38C0	Stool	Canada
RaymondF_2016	P38C7	Stool	Canada
RaymondF_2016	P38C90	Stool	Canada
RaymondF_2016	P3E0	Stool	Canada
RaymondF_2016	P3E7	Stool	Canada
RaymondF_2016	P3E90	Stool	Canada
RaymondF_2016	P4E0	Stool	Canada
RaymondF_2016	P4E7	Stool	Canada
RaymondF_2016	P4E90	Stool	Canada
RaymondF_2016	P5E0	Stool	Canada
RaymondF_2016	P5E7	Stool	Canada
RaymondF_2016	P5E90	Stool	Canada
RaymondF_2016	P6C0	Stool	Canada
RaymondF_2016	P6C7	Stool	Canada
RaymondF_2016	P6C90	Stool	Canada
RaymondF_2016	P7C0	Stool	Canada
RaymondF_2016	P7C7	Stool	Canada
RaymondF_2016	P7C90	Stool	Canada
RaymondF_2016	P8C0	Stool	Canada
RaymondF_2016	P8C7	Stool	Canada
RaymondF_2016	P8C90	Stool	Canada
RaymondF_2016	P9E0	Stool	Canada
RaymondF_2016	P9E7	Stool	Canada
RaymondF_2016	P9E90	Stool	Canada
VincentC_2016	MM001.1	Stool	Canada
VincentC_2016	MM001.2	Stool	Canada
VincentC_2016	MM001.3	Stool	Canada
VincentC_2016	MM001.4	Stool	Canada
VincentC_2016	MM002.1	Stool	Canada
VincentC_2016	MM002.2	Stool	Canada
VincentC_2016	MM003.1	Stool	Canada
VincentC_2016	MM003.2	Stool	Canada
VincentC_2016	MM004.1	Stool	Canada
VincentC_2016	MM004.2	Stool	Canada
VincentC_2016	MM005.1	Stool	Canada
VincentC_2016	MM005.2	Stool	Canada
VincentC_2016	MM005.3	Stool	Canada
VincentC_2016	MM006.1	Stool	Canada
VincentC_2016	MM006.2	Stool	Canada
VincentC_2016	MM007	Stool	Canada
VincentC_2016	MM008.1	Stool	Canada
VincentC_2016	MM008.2	Stool	Canada
VincentC_2016	MM008.3	Stool	Canada
VincentC_2016	MM009.1	Stool	Canada
VincentC_2016	MM009.2	Stool	Canada
VincentC_2016	MM010	Stool	Canada
VincentC_2016	MM011	Stool	Canada
VincentC_2016	MM012.1	Stool	Canada
VincentC_2016	MM012.2	Stool	Canada
VincentC_2016	MM013.1	Stool	Canada
VincentC_2016	MM013.2	Stool	Canada
VincentC_2016	MM013.3	Stool	Canada
VincentC_2016	MM014	Stool	Canada
VincentC_2016	MM015.1	Stool	Canada
VincentC_2016	MM015.2	Stool	Canada
VincentC_2016	MM016.1	Stool	Canada
VincentC_2016	MM016.2	Stool	Canada
VincentC_2016	MM016.3	Stool	Canada
VincentC_2016	MM017	Stool	Canada
VincentC_2016	MM018	Stool	Canada
VincentC_2016	MM019.1	Stool	Canada
VincentC_2016	MM019.2	Stool	Canada
VincentC_2016	MM019.3	Stool	Canada
VincentC_2016	MM020.1	Stool	Canada
VincentC_2016	MM020.2	Stool	Canada
VincentC_2016	MM020.3	Stool	Canada
VincentC_2016	MM021.1	Stool	Canada
VincentC_2016	MM021.2	Stool	Canada
VincentC_2016	MM021.3	Stool	Canada
VincentC_2016	MM021.4	Stool	Canada
VincentC_2016	MM022.1	Stool	Canada
VincentC_2016	MM022.2	Stool	Canada
VincentC_2016	MM022.3	Stool	Canada
VincentC_2016	MM023.1	Stool	Canada
VincentC_2016	MM023.2	Stool	Canada
VincentC_2016	MM024.1	Stool	Canada
VincentC_2016	MM024.2	Stool	Canada
VincentC_2016	MM024.3	Stool	Canada
VincentC_2016	MM025	Stool	Canada
VincentC_2016	MM026.1	Stool	Canada
VincentC_2016	MM026.2	Stool	Canada
VincentC_2016	MM027.1	Stool	Canada
VincentC_2016	MM027.2	Stool	Canada
VincentC_2016	MM027.3	Stool	Canada
VincentC_2016	MM028.1	Stool	Canada
VincentC_2016	MM028.2	Stool	Canada
VincentC_2016	MM029.1	Stool	Canada
VincentC_2016	MM029.2	Stool	Canada
VincentC_2016	MM029.3	Stool	Canada
VincentC_2016	MM030.1	Stool	Canada
VincentC_2016	MM030.2	Stool	Canada
VincentC_2016	MM031	Stool	Canada
VincentC_2016	MM032.1	Stool	Canada
VincentC_2016	MM032.2	Stool	Canada
VincentC_2016	MM032.3	Stool	Canada
VincentC_2016	MM032.4	Stool	Canada
VincentC_2016	MM033.1	Stool	Canada
VincentC_2016	MM033.2	Stool	Canada
VincentC_2016	MM033.3	Stool	Canada
VincentC_2016	MM033.4	Stool	Canada
VincentC_2016	MM034.1	Stool	Canada
VincentC_2016	MM034.2	Stool	Canada
VincentC_2016	MM034.3	Stool	Canada
VincentC_2016	MM035.1	Stool	Canada
VincentC_2016	MM035.2	Stool	Canada
VincentC_2016	MM036	Stool	Canada
VincentC_2016	MM037.1	Stool	Canada
VincentC_2016	MM037.2	Stool	Canada
VincentC_2016	MM038	Stool	Canada
VincentC_2016	MM039	Stool	Canada
VincentC_2016	MM040.1	Stool	Canada
VincentC_2016	MM040.2	Stool	Canada
VincentC_2016	MM041.1	Stool	Canada
VincentC_2016	MM041.2	Stool	Canada
VincentC_2016	MM042.1	Stool	Canada
VincentC_2016	MM042.2	Stool	Canada
VincentC_2016	MM043.1	Stool	Canada
VincentC_2016	MM043.2	Stool	Canada
VincentC_2016	MM044.1	Stool	Canada
VincentC_2016	MM044.2	Stool	Canada
VincentC_2016	MM045.1	Stool	Canada
VincentC_2016	MM045.2	Stool	Canada
VincentC_2016	MM046.1	Stool	Canada
VincentC_2016	MM046.2	Stool	Canada
VincentC_2016	MM046.3	Stool	Canada
VincentC_2016	MM047.1	Stool	Canada
VincentC_2016	MM047.2	Stool	Canada
VincentC_2016	MM047.3	Stool	Canada
VincentC_2016	MM048.1	Stool	Canada
VincentC_2016	MM048.2	Stool	Canada
VincentC_2016	MM049.1	Stool	Canada
VincentC_2016	MM049.2	Stool	Canada
VincentC_2016	MM050.1	Stool	Canada
VincentC_2016	MM050.2	Stool	Canada
VincentC_2016	MM050.3	Stool	Canada
VincentC_2016	MM050.4	Stool	Canada
VincentC_2016	MM051	Stool	Canada
VincentC_2016	MM052.1	Stool	Canada
VincentC_2016	MM052.2	Stool	Canada
VincentC_2016	MM053	Stool	Canada
VincentC_2016	MM054.1	Stool	Canada
VincentC_2016	MM054.2	Stool	Canada
VincentC_2016	MM055.1	Stool	Canada
VincentC_2016	MM055.3	Stool	Canada
VincentC_2016	MM055.4	Stool	Canada
VincentC_2016	MM055.5	Stool	Canada
VincentC_2016	MM055.6	Stool	Canada
VincentC_2016	MM055.7	Stool	Canada
VincentC_2016	MM056.1	Stool	Canada
VincentC_2016	MM056.2	Stool	Canada
VincentC_2016	MM057.1	Stool	Canada
VincentC_2016	MM057.10	Stool	Canada
VincentC_2016	MM057.11	Stool	Canada
VincentC_2016	MM057.12	Stool	Canada
VincentC_2016	MM057.2	Stool	Canada
VincentC_2016	MM057.3	Stool	Canada
VincentC_2016	MM057.4	Stool	Canada
VincentC_2016	MM057.5	Stool	Canada
VincentC_2016	MM057.6	Stool	Canada
VincentC_2016	MM057.7	Stool	Canada
VincentC_2016	MM057.8	Stool	Canada
VincentC_2016	MM057.9	Stool	Canada
VincentC_2016	MM058.1	Stool	Canada
VincentC_2016	MM058.2	Stool	Canada
VincentC_2016	MM059.1	Stool	Canada
VincentC_2016	MM059.2	Stool	Canada
VincentC_2016	MM060.1	Stool	Canada
VincentC_2016	MM060.2	Stool	Canada
VincentC_2016	MM061	Stool	Canada
VincentC_2016	MM062.1	Stool	Canada
VincentC_2016	MM062.2	Stool	Canada
VincentC_2016	MM063	Stool	Canada
VincentC_2016	MM064.1	Stool	Canada
VincentC_2016	MM064.2	Stool	Canada
VincentC_2016	MM065	Stool	Canada
VincentC_2016	MM066	Stool	Canada
VincentC_2016	MM068.1	Stool	Canada
VincentC_2016	MM068.2	Stool	Canada
VincentC_2016	MM069	Stool	Canada
VincentC_2016	MM070.1	Stool	Canada
VincentC_2016	MM070.2	Stool	Canada
VincentC_2016	MM070.3	Stool	Canada
VincentC_2016	MM071.2	Stool	Canada
VincentC_2016	MM071.3	Stool	Canada
VincentC_2016	MM072.1	Stool	Canada
VincentC_2016	MM072.2	Stool	Canada
VincentC_2016	MM074.1	Stool	Canada
VincentC_2016	MM074.2	Stool	Canada
VincentC_2016	MM075.1	Stool	Canada
VincentC_2016	MM075.2	Stool	Canada
VincentC_2016	MM077	Stool	Canada
VincentC_2016	MM078	Stool	Canada
VincentC_2016	MM079.1	Stool	Canada
VincentC_2016	MM079.2	Stool	Canada
VincentC_2016	MM080	Stool	Canada
VincentC_2016	MM081	Stool	Canada
VincentC_2016	MM082	Stool	Canada
VincentC_2016	MM083.1	Stool	Canada
VincentC_2016	MM083.2	Stool	Canada
VincentC_2016	MM083.3	Stool	Canada
VincentC_2016	MM083.4	Stool	Canada
VincentC_2016	MM083.5	Stool	Canada
VincentC_2016	MM084	Stool	Canada
VincentC_2016	MM085.1	Stool	Canada
VincentC_2016	MM085.2	Stool	Canada
VincentC_2016	MM086.2	Stool	Canada
VincentC_2016	MM086.3	Stool	Canada
VincentC_2016	MM086.5	Stool	Canada
VincentC_2016	MM086.6	Stool	Canada
VincentC_2016	MM087.1	Stool	Canada
VincentC_2016	MM087.2	Stool	Canada
VincentC_2016	MM088	Stool	Canada
VincentC_2016	MM089.1	Stool	Canada
VincentC_2016	MM089.2	Stool	Canada
VincentC_2016	MM090.1	Stool	Canada
VincentC_2016	MM090.2	Stool	Canada
VincentC_2016	MM090.3	Stool	Canada
VincentC_2016	MM091.1	Stool	Canada
VincentC_2016	MM091.2	Stool	Canada
VincentC_2016	MM091.3	Stool	Canada
VincentC_2016	MM091.4	Stool	Canada
VincentC_2016	MM092	Stool	Canada
VincentC_2016	MM093	Stool	Canada
VincentC_2016	MM094.1	Stool	Canada
VincentC_2016	MM094.2	Stool	Canada
VincentC_2016	MM096	Stool	Canada
VincentC_2016	MM098.1	Stool	Canada
VincentC_2016	MM098.10	Stool	Canada
VincentC_2016	MM098.11	Stool	Canada
VincentC_2016	MM098.12	Stool	Canada
VincentC_2016	MM098.13	Stool	Canada
VincentC_2016	MM098.14	Stool	Canada
VincentC_2016	MM098.15	Stool	Canada
VincentC_2016	MM098.2	Stool	Canada
VincentC_2016	MM098.3	Stool	Canada
VincentC_2016	MM098.4	Stool	Canada
VincentC_2016	MM098.5	Stool	Canada
VincentC_2016	MM098.6	Stool	Canada
VincentC_2016	MM098.7	Stool	Canada
VincentC_2016	MM098.8	Stool	Canada
VincentC_2016	MM098.9	Stool	Canada
VincentC_2016	MM099.1	Stool	Canada
VincentC_2016	MM099.2	Stool	Canada
VincentC_2016	MM099.3	Stool	Canada
VincentC_2016	MM099.4	Stool	Canada
VincentC_2016	MM100.1	Stool	Canada
VincentC_2016	MM100.2	Stool	Canada
VincentC_2016	MM101.1	Stool	Canada
VincentC_2016	MM101.2	Stool	Canada
VincentC_2016	MM103.1	Stool	Canada
VincentC_2016	MM103.2	Stool	Canada
VincentC_2016	MM103.3	Stool	Canada
VincentC_2016	MM104	Stool	Canada
ChengpingW_2017	AS100raw	Stool	China
ChengpingW_2017	AS101raw	Stool	China
ChengpingW_2017	AS103raw	Stool	China
ChengpingW_2017	AS104raw	Stool	China
ChengpingW_2017	AS105raw	Stool	China
ChengpingW_2017	AS106raw	Stool	China
ChengpingW_2017	AS108raw	Stool	China
ChengpingW_2017	AS109raw	Stool	China
ChengpingW_2017	AS10raw	Stool	China
ChengpingW_2017	AS111raw	Stool	China
ChengpingW_2017	AS113raw	Stool	China
ChengpingW_2017	AS114raw	Stool	China
ChengpingW_2017	AS115raw	Stool	China
ChengpingW_2017	AS116raw	Stool	China
ChengpingW_2017	AS117raw	Stool	China
ChengpingW_2017	AS119raw	Stool	China
ChengpingW_2017	AS11raw	Stool	China
ChengpingW_2017	AS120raw	Stool	China
ChengpingW_2017	AS121raw	Stool	China
ChengpingW_2017	AS122raw	Stool	China
ChengpingW_2017	AS123raw	Stool	China
ChengpingW_2017	AS126raw	Stool	China
ChengpingW_2017	AS127raw	Stool	China
ChengpingW_2017	AS128raw	Stool	China
ChengpingW_2017	AS12raw	Stool	China
ChengpingW_2017	AS130raw	Stool	China
ChengpingW_2017	AS131raw	Stool	China
ChengpingW_2017	AS132raw	Stool	China
ChengpingW_2017	AS133raw	Stool	China
ChengpingW_2017	AS134raw	Stool	China
ChengpingW_2017	AS136raw	Stool	China
ChengpingW_2017	AS137raw	Stool	China
ChengpingW_2017	AS138raw	Stool	China
ChengpingW_2017	AS15raw	Stool	China
ChengpingW_2017	AS17raw	Stool	China
ChengpingW_2017	AS18raw	Stool	China
ChengpingW_2017	AS19raw	Stool	China
ChengpingW_2017	AS20raw	Stool	China
ChengpingW_2017	AS21raw	Stool	China
ChengpingW_2017	AS22raw	Stool	China
ChengpingW_2017	AS24raw	Stool	China
ChengpingW_2017	AS25raw	Stool	China
ChengpingW_2017	AS26raw	Stool	China
ChengpingW_2017	AS28raw	Stool	China
ChengpingW_2017	AS29raw	Stool	China
ChengpingW_2017	AS2raw	Stool	China
ChengpingW_2017	AS31raw	Stool	China
ChengpingW_2017	AS34raw	Stool	China
ChengpingW_2017	AS35raw	Stool	China
ChengpingW_2017	AS36raw	Stool	China
ChengpingW_2017	AS37raw	Stool	China
ChengpingW_2017	AS38raw	Stool	China
ChengpingW_2017	AS3raw	Stool	China
ChengpingW_2017	AS40raw	Stool	China
ChengpingW_2017	AS41raw	Stool	China
ChengpingW_2017	AS42raw	Stool	China
ChengpingW_2017	AS43raw	Stool	China
ChengpingW_2017	AS45raw	Stool	China
ChengpingW_2017	AS46raw	Stool	China
ChengpingW_2017	AS48raw	Stool	China
ChengpingW_2017	AS49raw	Stool	China
ChengpingW_2017	AS4raw	Stool	China
ChengpingW_2017	AS50raw	Stool	China
ChengpingW_2017	AS51raw	Stool	China
ChengpingW_2017	AS54raw	Stool	China
ChengpingW_2017	AS56raw	Stool	China
ChengpingW_2017	AS57raw	Stool	China
ChengpingW_2017	AS58raw	Stool	China
ChengpingW_2017	AS5raw	Stool	China
ChengpingW_2017	AS61raw	Stool	China
ChengpingW_2017	AS62raw	Stool	China
ChengpingW_2017	AS63raw	Stool	China
ChengpingW_2017	AS64raw	Stool	China
ChengpingW_2017	AS65raw	Stool	China
ChengpingW_2017	AS66raw	Stool	China
ChengpingW_2017	AS67raw	Stool	China
ChengpingW_2017	AS68raw	Stool	China
ChengpingW_2017	AS6raw	Stool	China
ChengpingW_2017	AS71raw	Stool	China
ChengpingW_2017	AS73raw	Stool	China
ChengpingW_2017	AS74raw	Stool	China
ChengpingW_2017	AS76raw	Stool	China
ChengpingW_2017	AS77raw	Stool	China
ChengpingW_2017	AS78raw	Stool	China
ChengpingW_2017	AS79raw	Stool	China
ChengpingW_2017	AS80raw	Stool	China
ChengpingW_2017	AS81raw	Stool	China
ChengpingW_2017	AS82raw	Stool	China
ChengpingW_2017	AS84raw	Stool	China
ChengpingW_2017	AS90raw	Stool	China
ChengpingW_2017	AS92raw	Stool	China
ChengpingW_2017	AS94raw	Stool	China
ChengpingW_2017	AS96raw	Stool	China
ChengpingW_2017	AS97raw	Stool	China
ChengpingW_2017	AS98raw	Stool	China
ChengpingW_2017	AS99raw	Stool	China
ChengpingW_2017	AS9raw	Stool	China
ChngKR_2016	WBE011	Skin	China
