sampleID	NCBI_accession
BritoIL_2016__W1.36.SA	SRR2231366;SRR2244725;SRR2245622;SRR2246296;SRR2247119;SRR2248169;SRR2243888;SRR2243911;SRR2243966;SRR2244006;SRR2244205;SRR2244519;SRR2244719;SRR2246056;SRR2221477;SRR2221478;SRR2221484;SRR2221573;SRR2221860;SRR2221872;SRR2221874;SRR2221898
BritoIL_2016__W1.36.ST	SRR2227283;SRR2222570;SRR2222655;SRR2193370;SRR2193518;SRR2193600;SRR2193877;SRR2194030;SRR2194132;SRR2194977;SRR2194856;SRR2193434;SRR2193542;SRR2193857;SRR2193966;SRR2193968;SRR2194545;SRR2194849;SRR2194989
BritoIL_2016__W1.37.SA	SRR2193368;SRR2193561;SRR2193946;SRR2194082;SRR2237575;SRR2249382;SRR2250112;SRR2251649;SRR2244687;SRR2249313;SRR2249324;SRR2249330;SRR2250255;SRR2251632;SRR2244438;SRR2245646;SRR2246314;SRR2247675;SRR2250566;SRR2251140;SRR2251399;SRR2251666
BritoIL_2016__W1.37.ST	SRR2248546;SRR2250436;SRR2251577;SRR2192729;SRR2192807;SRR2193874;SRR2194043;SRR2194122;SRR2194513;SRR2194590;SRR2194611;SRR2198957;SRR2199151;SRR2199528;SRR2199584;SRR2199598;SRR2199617;SRR2199632;SRR2199675
BritoIL_2016__W1.38.SA	SRR2244337;SRR2249408;SRR2250119;SRR2250253;SRR2250304;SRR2250484;SRR2250534;SRR2250568;SRR2226491;SRR2226750;SRR2226769;SRR2227345;SRR2227355;SRR2227398;SRR2247960;SRR2248258;SRR2249554;SRR2250263;SRR2250348;SRR2250370;SRR2250448;SRR2251029
BritoIL_2016__W1.38.ST	SRR2246370;SRR2247064;SRR2250298;SRR2250463;SRR2250501;SRR2251662;SRR2244449;SRR2246562;SRR2247089;SRR2249222;SRR2249375;SRR2250392;SRR2250602;SRR2250635;SRR2227819;SRR2227368
BritoIL_2016__W1.39.SA	SRR2243403;SRR2243489;SRR2244181;SRR2244420;SRR2247563;SRR2243891;SRR2243495;SRR2243522;SRR2243637;SRR2243854;SRR2244004;SRR2244831;SRR2246315;SRR2248194;SRR2226752;SRR2226772;SRR2226796;SRR2227346;SRR2227348;SRR2227382;SRR2227385;SRR2227390
BritoIL_2016__W1.39.ST	SRR2228180;SRR2247096;SRR2250444;SRR2192780;SRR2192785;SRR2193629;SRR2193870;SRR2194086;SRR2194647;SRR2194969;SRR2194970;SRR2188723;SRR2188742;SRR2188743;SRR2188984;SRR2189010;SRR2189034;SRR2189046;SRR2189048
BritoIL_2016__W1.4.SA	SRR2244676;SRR2246359;SRR2246406;SRR2246416;SRR2246666;SRR2248191;SRR2189689;SRR2189899;SRR2189916;SRR2189927;SRR2227879;SRR2227973;SRR2227848;SRR2227975;SRR2227812;SRR2227833;SRR2227840;SRR2227858;SRR2227876;SRR2227914;SRR2227916;SRR2227927
BritoIL_2016__W1.4.ST	SRR2225614;SRR2225610;SRR2225613;SRR2192739;SRR2193592;SRR2193926;SRR2193947;SRR2194515;SRR2194526;SRR2194588;SRR2194848;SRR2192828;SRR2193323;SRR2193521;SRR2193586;SRR2193776;SRR2193810;SRR2193881;SRR2194546
BritoIL_2016__W1.40.SA	SRR2245491;SRR2249173;SRR2250264;SRR2250571;SRR2251378;SRR2251592;SRR2251597;SRR2251598;SRR2226390;SRR2226401;SRR2226418;SRR2226424;SRR2226458;SRR2226461;SRR2193608;SRR2193641;SRR2194877;SRR2245678;SRR2249720;SRR2250513;SRR2250622;SRR2250660
BritoIL_2016__W1.40.ST	SRR2246283;SRR2248248;SRR2247145;SRR2248893;SRR2250475;SRR2251009;SRR2251545;SRR2251614;SRR2236766;SRR2236835;SRR2237323;SRR2237466;SRR2237789;SRR2237660;SRR2237327;SRR2236421
BritoIL_2016__W1.41.ST	SRR2247050;SRR2228164;SRR2228766;SRR2188737;SRR2188738;SRR2188740;SRR2188746;SRR2188775;SRR2189006;SRR2189025;SRR2189035;SRR2191930;SRR2191945;SRR2191950;SRR2191951;SRR2191957;SRR2191965;SRR2191969;SRR2191978
BritoIL_2016__W1.42.SA	SRR2247043;SRR2248274;SRR2249145;SRR2249290;SRR2249352;SRR2250520;SRR2195741;SRR2244808;SRR2246733;SRR2247102;SRR2247135;SRR2249228;SRR2250262;SRR2250645;SRR2244347;SRR2244654;SRR2245502;SRR2247077;SRR2247159;SRR2249350;SRR2250379;SRR2250519
BritoIL_2016__W1.42.ST	SRR2231804;SRR2231835;SRR2193349;SRR2193531;SRR2193536;SRR2193556;SRR2193576;SRR2193632;SRR2193807;SRR2194119;SRR2188202;SRR2188206;SRR2188415;SRR2188419;SRR2188465;SRR2188501;SRR2188509;SRR2188518;SRR2227615
BritoIL_2016__W1.44.SA	SRR2250291;SRR2250309;SRR2250364;SRR2250397;SRR2250655;SRR2251612;SRR2193443;SRR2194912;SRR2245268;SRR2246327;SRR2247561;SRR2249415;SRR2250525;SRR2250630;SRR2236738;SRR2237622;SRR2248151;SRR2250383;SRR2250441;SRR2250654;SRR2250953;SRR2251595
BritoIL_2016__W1.44.ST	SRR2222402;SRR2222411;SRR2222415;SRR2222569;SRR2222587;SRR2222692;SRR2244890;SRR2249274;SRR2249392;SRR2249559;SRR2249631;SRR2251579;SRR2251622;SRR2251646;SRR2236883;SRR2237355
BritoIL_2016__W1.5.SA	SRR2245492;SRR2246470;SRR2247030;SRR2248172;SRR2248993;SRR2249374;SRR2250616;SRR2251589;SRR2194946;SRR2237658;SRR2245448;SRR2247099;SRR2249633;SRR2250378;SRR2250434;SRR2250490;SRR2223201;SRR2223206;SRR2223230;SRR2223337;SRR2223382;SRR2223423
BritoIL_2016__W1.5.ST	SRR2247888;SRR2250417;SRR2244849;SRR2245494;SRR2249204;SRR2249357;SRR2251576;SRR2251628;SRR2244770;SRR2246583;SRR2248717;SRR2249178;SRR2249235;SRR2249344;SRR2250270;SRR2250362
BritoIL_2016__W1.51.ST	SRR2237809;SRR2251252;SRR2221915;SRR2221981;SRR2222135;SRR2222258;SRR2222374;SRR2222380;SRR2236760;SRR2236762;SRR2236838;SRR2244360;SRR2245671;SRR2246401;SRR2249339;SRR2249399
BritoIL_2016__W1.53.SA	SRR2243428;SRR2244165;SRR2244352;SRR2244157;SRR2247131;SRR2236756;SRR2237368;SRR2243695;SRR2243960;SRR2243982;SRR2244318;SRR2245883;SRR2249182
BritoIL_2016__W1.53.ST	SRR2248688;SRR2249438;SRR2192804;SRR2193594;SRR2193789;SRR2193833;SRR2193977;SRR2194049;SRR2194904;SRR2194931;SRR2222455;SRR2192808;SRR2193409;SRR2193548;SRR2193880;SRR2193935;SRR2194015;SRR2194135;SRR2194646
BritoIL_2016__W1.54.ST	SRR2227585;SRR2228508;SRR2232123;SRR2193367;SRR2193374;SRR2193619;SRR2194014;SRR2194531;SRR2194585;SRR2194604;SRR2194994;SRR2192726;SRR2192759;SRR2193936;SRR2193961;SRR2194028;SRR2194580;SRR2194623;SRR2194910
BritoIL_2016__W1.55.ST	SRR2247680;SRR2250523;SRR2236880;SRR2237491;SRR2248251;SRR2249385;SRR2251369;SRR2251491;SRR2226893;SRR2226894;SRR2227290;SRR2227608;SRR2227642;SRR2227654;SRR2227728;SRR2227734
BritoIL_2016__W1.6.SA	SRR2223675;SRR2223944;SRR2226891;SRR2226908;SRR2227998;SRR2228253;SRR2228336;SRR2228449;SRR2189885;SRR2189942;SRR2226757;SRR2226760;SRR2226771;SRR2226791;SRR2227359;SRR2227369;SRR2237634;SRR2247091;SRR2249168;SRR2249383;SRR2250457;SRR2251652
BritoIL_2016__W1.6.ST	SRR2232423;SRR2199147;SRR2199312;SRR2199620;SRR2199648;SRR2199653;SRR2199657;SRR2199663;SRR2199666;SRR2188203;SRR2188450;SRR2188459;SRR2188462;SRR2188473;SRR2188482;SRR2188493;SRR2188516;SRR2227443;SRR2228525
BritoIL_2016__W1.8.SA	SRR2192724;SRR2193851;SRR2194048;SRR2237181;SRR2237365;SRR2237510;SRR2243828;SRR2246393;SRR2227804;SRR2227808;SRR2227836;SRR2227859;SRR2227860;SRR2227915;SRR2243369;SRR2243579;SRR2243608;SRR2243672;SRR2243923;SRR2245889;SRR2245994;SRR2248685
BritoIL_2016__W1.8.ST	SRR2226879;SRR2227560;SRR2227574;SRR2227733;SRR2228439;SRR2228777;SRR2246188;SRR2250617;SRR2222400;SRR2222410;SRR2222416;SRR2222417;SRR2222420;SRR2222553;SRR2222589;SRR2222605
BritoIL_2016__W1.9.SA	SRR2188495;SRR2221913;SRR2221916;SRR2221918;SRR2221978;SRR2222082;SRR2222240;SRR2222378;SRR2226378;SRR2226381;SRR2226403;SRR2226406;SRR2226413;SRR2226440;SRR2244663;SRR2244697;SRR2246286;SRR2250459;SRR2250464;SRR2250944;SRR2251246;SRR2251660
BritoIL_2016__W1.9.ST	SRR2231970;SRR2222497;SRR2222637;SRR2192816;SRR2193365;SRR2193428;SRR2193948;SRR2194527;SRR2194543;SRR2194871;SRR2194906;SRR2195633;SRR2195656;SRR2195696;SRR2195751;SRR2195886;SRR2195916;SRR2198965;SRR2199564
BritoIL_2016__W2.1.ST	SRR2250548;SRR2225612;SRR2225619;SRR2187407;SRR2187412;SRR2187416;SRR2187421;SRR2187454;SRR2187553;SRR2187559;SRR2187561;SRR2198959;SRR2199347;SRR2199393;SRR2199453;SRR2199637;SRR2199642;SRR2199647;SRR2199664
BritoIL_2016__W2.11.ST	SRR2237623;SRR2237744;SRR2249247;SRR2249321;SRR2247990;SRR2244799;SRR2220821;SRR2220880;SRR2220882;SRR2221421;SRR2221423;SRR2221426;SRR2221442;SRR2228038;SRR2250853;SRR2251611
BritoIL_2016__W2.13.ST	SRR2231769;SRR2250305;SRR2250399;SRR2188214;SRR2188414;SRR2188421;SRR2188453;SRR2188483;SRR2188506;SRR2188508;SRR2188515;SRR2195720;SRR2195774;SRR2195798;SRR2195821;SRR2195866;SRR2195893;SRR2195897;SRR2195912
BritoIL_2016__W2.15.ST	SRR2226938;SRR2228238;SRR2250518;SRR2199459;SRR2199585;SRR2199595;SRR2199604;SRR2199611;SRR2199627;SRR2199668;SRR2199242;SRR2189665;SRR2189681;SRR2189692;SRR2189701;SRR2189868;SRR2189872;SRR2189873;SRR2189902
BritoIL_2016__W2.17.ST	SRR2232088;SRR2188729;SRR2188764;SRR2188781;SRR2188835;SRR2188997;SRR2189014;SRR2189015;SRR2189051;SRR2248057;SRR2250500;SRR2198960;SRR2199245;SRR2199315;SRR2199594;SRR2199608;SRR2199609;SRR2199634;SRR2199655
BritoIL_2016__W2.19.SA	SRR2223600;SRR2226941;SRR2227747;SRR2227813;SRR2228247;SRR2228586;SRR2246227;SRR2246323;SRR2246337;SRR2247011;SRR2248262;SRR2249231;SRR2249315;SRR2250614;SRR2224042;SRR2226803;SRR2227721;SRR2227795;SRR2227987;SRR2228012;SRR2228667;SRR2228742
BritoIL_2016__W2.19.ST	SRR2246303;SRR2191101;SRR2191111;SRR2191114;SRR2191119;SRR2191127;SRR2191156;SRR2191160;SRR2191459;SRR2228391;SRR2228782;SRR2191083;SRR2191085;SRR2191086;SRR2191132;SRR2191141;SRR2191144;SRR2191482;SRR2191486
BritoIL_2016__W2.21.SA	SRR2237562;SRR2237609;SRR2245924;SRR2247434;SRR2249429;SRR2249515;SRR2250658;SRR2251586;SRR2193835;SRR2244310;SRR2244810;SRR2249377;SRR2250406;SRR2250563;SRR2251007;SRR2251021;SRR2226493;SRR2226746;SRR2226754;SRR2226940;SRR2227341;SRR2227372
BritoIL_2016__W2.21.ST	SRR2222819;SRR2223140;SRR2227739;SRR2227823;SRR2228036;SRR2228052;SRR2228171;SRR2228245;SRR2231370;SRR2231692;SRR2231777;SRR2231779;SRR2231782;SRR2231953;SRR2232004;SRR2232413
BritoIL_2016__W2.23.SA	SRR2226758;SRR2226776;SRR2226782;SRR2226789;SRR2226794;SRR2227354;SRR2227357;SRR2227374;SRR2247034;SRR2248212;SRR2249268;SRR2250652;SRR2251008;SRR2251603;SRR2193565;SRR2194058;SRR2245576;SRR2249310;SRR2249358;SRR2249915;SRR2250597;SRR2250739
BritoIL_2016__W2.23.ST	SRR2249548;SRR2250495;SRR2192771;SRR2193768;SRR2193814;SRR2193898;SRR2193927;SRR2193959;SRR2194547;SRR2194958;SRR2222422;SRR2192734;SRR2192821;SRR2193373;SRR2193581;SRR2194924;SRR2194916;SRR2194859;SRR2193915
BritoIL_2016__W2.25.SA	SRR2193647;SRR2193904;SRR2194925;SRR2244794;SRR2245607;SRR2246852;SRR2249760;SRR2250310;SRR2245471;SRR2247687;SRR2250078;SRR2250494;SRR2249212;SRR2245802;SRR2236497;SRR2237598;SRR2244380;SRR2244520;SRR2246335;SRR2250288;SRR2250396;SRR2250648
BritoIL_2016__W2.25.ST	SRR2231792;SRR2248692;SRR2249316;SRR2189673;SRR2189677;SRR2189697;SRR2189708;SRR2189907;SRR2189931;SRR2189936;SRR2189943;SRR2193460;SRR2193573;SRR2193854;SRR2193902;SRR2193953;SRR2194530;SRR2194635;SRR2194875
BritoIL_2016__W2.26.SA	SRR2236891;SRR2244210;SRR2244296;SRR2236750;SRR2237736;SRR2236868;SRR2237749;SRR2243555;SRR2243627;SRR2243667;SRR2244757;SRR2245467;SRR2245488
BritoIL_2016__W2.26.ST	SRR2236721;SRR2237742;SRR2247137;SRR2249175;SRR2249412;SRR2237303;SRR2220879;SRR2220883;SRR2221203;SRR2221419;SRR2221427;SRR2221429;SRR2221432;SRR2221439;SRR2225697;SRR2225702
BritoIL_2016__W2.33.SA	SRR2237410;SRR2247098;SRR2243446;SRR2243688;SRR2243792;SRR2246033;SRR2247029;SRR2236715;SRR2236736;SRR2244346;SRR2244436;SRR2246261;SRR2247166;SRR2247176;SRR2247820;SRR2223584;SRR2223903;SRR2223904;SRR2248254;SRR2237516;SRR2243611;SRR2243666;SRR2243823;SRR2243827;SRR2243922;SRR2246271;SRR2248269;SRR2231313;SRR2231338;SRR2231343;SRR2231353;SRR2232002;SRR2232211;SRR2232388;SRR2232424
BritoIL_2016__W2.33.ST	SRR2228493;SRR2228767;SRR2249197;SRR2192795;SRR2192826;SRR2193425;SRR2193905;SRR2193973;SRR2194615;SRR2194643;SRR2194651;SRR2192783;SRR2193321;SRR2193354;SRR2193461;SRR2193862;SRR2192727;SRR2194988;SRR2194654
BritoIL_2016__W2.34.SA	SRR2231800;SRR2224756;SRR2227646;SRR2227955;SRR2227988;SRR2228243;SRR2228727;SRR2228735;SRR2228788;SRR2244055;SRR2244102;SRR2245551;SRR2246390;SRR2248178;SRR2243539;SRR2243609;SRR2244409;SRR2244778;SRR2244809;SRR2247136;SRR2248276;SRR2248296
BritoIL_2016__W2.34.ST	SRR2251664;SRR2225705;SRR2225736;SRR2192770;SRR2192777;SRR2192812;SRR2193558;SRR2194129;SRR2194541;SRR2194889;SRR2194971;SRR2191088;SRR2191090;SRR2191122;SRR2191130;SRR2191169;SRR2191455;SRR2191480;SRR2191488
BritoIL_2016__W2.35.SA	SRR2223803;SRR2223924;SRR2243445;SRR2244692;SRR2244703;SRR2245258;SRR2245463;SRR2247003;SRR2248186;SRR2248257;SRR2243500;SRR2244395;SRR2245459
BritoIL_2016__W2.35.ST	SRR2231748;SRR2232422;SRR2228321;SRR2193429;SRR2193855;SRR2194072;SRR2194618;SRR2193937;SRR2193799;SRR2193798;SRR2193597;SRR2187631;SRR2187645;SRR2187649;SRR2187651;SRR2187667;SRR2187996;SRR2188034;SRR2188080
BritoIL_2016__W2.36.SA	SRR2231346;SRR2243565;SRR2244815;SRR2247616;SRR2247918;SRR2248249;SRR2227751;SRR2227938;SRR2228174;SRR2228268;SRR2228495;SRR2228592;SRR2228621;SRR2228725;SRR2228286;SRR2228303;SRR2228306;SRR2228311;SRR2228325;SRR2228414;SRR2228415;SRR2228420
BritoIL_2016__W2.36.ST	SRR2227602;SRR2228515;SRR2192730;SRR2192761;SRR2193623;SRR2193649;SRR2194597;SRR2194610;SRR2194860;SRR2194991;SRR2191087;SRR2191109;SRR2191137;SRR2191147;SRR2191148;SRR2191173;SRR2191435;SRR2191473;SRR2231770
BritoIL_2016__W2.39.SA	SRR2243910;SRR2247656;SRR2237740;SRR2243943;SRR2247007;SRR2243459;SRR2243649;SRR2244295;SRR2244332;SRR2246278;SRR2246378;SRR2246885;SRR2248224
BritoIL_2016__W2.39.ST	SRR2244367;SRR2250332;SRR2222785;SRR2222815;SRR2222825;SRR2222987;SRR2223024;SRR2223028;SRR2223056;SRR2223099;SRR2237310;SRR2245462;SRR2245969;SRR2249564;SRR2251077;SRR2251638
BritoIL_2016__W2.4.SA	SRR2226878;SRR2227548;SRR2227752;SRR2228333;SRR2228547;SRR2228562;SRR2244658;SRR2246316;SRR2247062;SRR2249555;SRR2250301;SRR2250435;SRR2251640;SRR2251663;SRR2193893;SRR2245631;SRR2249229;SRR2249307;SRR2249884;SRR2250330;SRR2250649;SRR2251591
BritoIL_2016__W2.4.ST	SRR2192733;SRR2193347;SRR2193620;SRR2193643;SRR2194596;SRR2194870;SRR2194914;SRR2194937;SRR2193464;SRR2193572;SRR2193626;SRR2193657;SRR2194903;SRR2194948;SRR2194539;SRR2192740;SRR2250415;SRR2245621;SRR2247620
BritoIL_2016__W2.40.SA	SRR2223884;SRR2223905;SRR2224000;SRR2221910;SRR2222086;SRR2222381;SRR2227882;SRR2227950;SRR2228198;SRR2228687;SRR2222276;SRR2223578;SRR2223676
BritoIL_2016__W2.40.ST	SRR2250535;SRR2191089;SRR2191106;SRR2191121;SRR2191151;SRR2191157;SRR2191158;SRR2191178;SRR2191456;SRR2250609;SRR2249341;SRR2188747;SRR2188748;SRR2188751;SRR2188759;SRR2188763;SRR2189007;SRR2189018;SRR2189043
BritoIL_2016__W2.41.SA	SRR2244361;SRR2248164;SRR2237800;SRR2244001;SRR2243932;SRR2243977;SRR2244302;SRR2245475;SRR2247090;SRR2247329;SRR2248261;SRR2248431;SRR2248599
BritoIL_2016__W2.41.ST	SRR2231686;SRR2246251;SRR2249302;SRR2191921;SRR2191928;SRR2191929;SRR2191936;SRR2191937;SRR2191943;SRR2191948;SRR2191974;SRR2192768;SRR2193324;SRR2193532;SRR2193537;SRR2193773;SRR2193980;SRR2193579;SRR2194866
BritoIL_2016__W2.42.SA	SRR2244977;SRR2246840;SRR2249914;SRR2250479;SRR2250528;SRR2251221;SRR2193523;SRR2193577;SRR2237752;SRR2237787;SRR2245444;SRR2248113;SRR2249184;SRR2250289;SRR2245259;SRR2245547;SRR2245661;SRR2250343;SRR2250564;SRR2250569;SRR2251543;SRR2251616
BritoIL_2016__W2.42.ST	SRR2228280;SRR2192748;SRR2193348;SRR2193917;SRR2193922;SRR2194081;SRR2194117;SRR2194579;SRR2193570;SRR2191084;SRR2191125;SRR2191135;SRR2191165;SRR2191171;SRR2191430;SRR2191453;SRR2191487;SRR2249295;SRR2250491
BritoIL_2016__W2.43.SA	SRR2237452;SRR2244866;SRR2250357;SRR2251667;SRR2250980;SRR2248948;SRR2237721;SRR2237720;SRR2192833;SRR2193585;SRR2194600;SRR2237318;SRR2249347;SRR2250005;SRR2250233;SRR2251648;SRR2245763;SRR2247116;SRR2249293;SRR2250278;SRR2250453;SRR2250669
BritoIL_2016__W2.43.ST	SRR2247324;SRR2250849;SRR2222784;SRR2222811;SRR2222813;SRR2222964;SRR2223059;SRR2223191;SRR2231342;SRR2231368;SRR2231374;SRR2231719;SRR2231757;SRR2231776;SRR2231788;SRR2232389
BritoIL_2016__W2.44.SA	SRR2246389;SRR2247110;SRR2227831;SRR2227846;SRR2227923;SRR2243450;SRR2244184;SRR2244777;SRR2244788;SRR2244857;SRR2246289;SRR2248159;SRR2249176
BritoIL_2016__W2.44.ST	SRR2248466;SRR2248557;SRR2244369;SRR2187656;SRR2187669;SRR2187671;SRR2187672;SRR2187673;SRR2187678;SRR2188075;SRR2188084;SRR2192762;SRR2193319;SRR2193339;SRR2193358;SRR2193819;SRR2193897;SRR2194114;SRR2194878
BritoIL_2016__W2.45.SA	SRR2243552;SRR2228278;SRR2228289;SRR2228318;SRR2228337;SRR2228356;SRR2231267;SRR2231311;SRR2231352;SRR2231828;SRR2231829;SRR2232412;SRR2232420;SRR2236728;SRR2227342;SRR2227577;SRR2227722;SRR2227748;SRR2227841;SRR2227940;SRR2228098;SRR2228776
BritoIL_2016__W2.45.ST	SRR2249160;SRR2250361;SRR2250638;SRR2195843;SRR2195859;SRR2195861;SRR2195868;SRR2195871;SRR2195887;SRR2195907;SRR2195917;SRR2192736;SRR2193444;SRR2193625;SRR2193666;SRR2193828;SRR2194067;SRR2194599;SRR2194638
BritoIL_2016__W2.46.SA	SRR2247032;SRR2247140;SRR2237331;SRR2243562;SRR2243633;SRR2244338;SRR2244802;SRR2245658;SRR2245483;SRR2243613;SRR2237567;SRR2237657;SRR2237796
BritoIL_2016__W2.46.ST	SRR2247150;SRR2251136;SRR2245881;SRR2246346;SRR2249525;SRR2250277;SRR2250341;SRR2250347;SRR2225703;SRR2225716;SRR2225717;SRR2225738;SRR2225741;SRR2225744;SRR2227573;SRR2228242
BritoIL_2016__W2.47.SA	SRR2243464;SRR2244000;SRR2245513;SRR2224422;SRR2227816;SRR2236895;SRR2237552;SRR2243802;SRR2244392;SRR2244422;SRR2247037;SRR2247242;SRR2247359
BritoIL_2016__W2.47.ST	SRR2245354;SRR2250462;SRR2249455;SRR2192722;SRR2193327;SRR2193334;SRR2194133;SRR2194136;SRR2194520;SRR2194861;SRR2194995;SRR2191919;SRR2191920;SRR2191922;SRR2191925;SRR2191934;SRR2191939;SRR2191940;SRR2191964
BritoIL_2016__W2.48.SA	SRR2244709;SRR2246538;SRR2248271;SRR2249259;SRR2249920;SRR2250486;SRR2245485;SRR2245666;SRR2246065;SRR2248239;SRR2248721;SRR2249477;SRR2249845;SRR2250365;SRR2194027;SRR2236871;SRR2245615;SRR2247161;SRR2248211;SRR2249401;SRR2250661;SRR2251665
BritoIL_2016__W2.48.ST	SRR2244845;SRR2249376;SRR2249355;SRR2191136;SRR2191152;SRR2191168;SRR2191438;SRR2191448;SRR2191449;SRR2191466;SRR2191472;SRR2188750;SRR2188753;SRR2188768;SRR2188770;SRR2188774;SRR2189029;SRR2189030;SRR2189031
BritoIL_2016__W2.49.SA	SRR2244891;SRR2245528;SRR2245537;SRR2246422;SRR2247052;SRR2248279;SRR2194840;SRR2244014;SRR2244285;SRR2244718;SRR2244749;SRR2246542;SRR2247023;SRR2247679;SRR2243566;SRR2244079;SRR2244088;SRR2244336;SRR2244694;SRR2244751;SRR2246348;SRR2247012
BritoIL_2016__W2.49.ST	SRR2231688;SRR2222512;SRR2222623;SRR2189661;SRR2189682;SRR2189698;SRR2189882;SRR2189892;SRR2189893;SRR2189920;SRR2189941;SRR2187636;SRR2187644;SRR2187647;SRR2187653;SRR2187655;SRR2187662;SRR2188078;SRR2188108
BritoIL_2016__W2.5.ST	SRR2225710;SRR2225724;SRR2236498;SRR2249300;SRR2249427;SRR2249815;SRR2251280;SRR2236742;SRR2225708;SRR2225740;SRR2225743;SRR2225737;SRR2225719;SRR2225718;SRR2225707;SRR2225706
BritoIL_2016__W2.52.ST	SRR2250574;SRR2249719;SRR2251631;SRR2187630;SRR2187646;SRR2187652;SRR2187654;SRR2187670;SRR2188071;SRR2188072;SRR2188083;SRR2192825;SRR2193329;SRR2193330;SRR2193440;SRR2193878;SRR2194887;SRR2194930;SRR2194986
BritoIL_2016__W2.53.SA	SRR2244132;SRR2248207;SRR2237346;SRR2237670;SRR2237715;SRR2243503;SRR2244082;SRR2244116;SRR2244201;SRR2244488;SRR2246268;SRR2247172;SRR2249029
BritoIL_2016__W2.53.ST	SRR2227287;SRR2227600;SRR2227996;SRR2228193;SRR2228236;SRR2228277;SRR2228329;SRR2228780;SRR2228700;SRR2228746;SRR2221912;SRR2221959;SRR2222238;SRR2222317;SRR2222344;SRR2228030
BritoIL_2016__W2.54.SA	SRR2223575;SRR2224041;SRR2244470;SRR2245577;SRR2248302;SRR2223567;SRR2223570;SRR2223579;SRR2223586;SRR2223588;SRR2223708;SRR2223784;SRR2224048
BritoIL_2016__W2.54.ST	SRR2250443;SRR2246387;SRR2247322;SRR2191145;SRR2191153;SRR2191155;SRR2191172;SRR2191176;SRR2191452;SRR2191474;SRR2191490;SRR2188732;SRR2188734;SRR2188745;SRR2188861;SRR2188995;SRR2189016;SRR2189022;SRR2189049
BritoIL_2016__W2.56.SA	SRR2237371;SRR2228610;SRR2228658;SRR2228683;SRR2228702;SRR2228726;SRR2228736;SRR2228734;SRR2228664;SRR2231836;SRR2236424;SRR2236782;SRR2236843;SRR2237402;SRR2237594;SRR2237732;SRR2237814;SRR2224261;SRR2224267;SRR2224351;SRR2224416;SRR2224757
BritoIL_2016__W2.56.ST	SRR2244776;SRR2246332;SRR2246349;SRR2250352;SRR2250447;SRR2251596;SRR2227869;SRR2227981;SRR2237624;SRR2248290;SRR2249221;SRR2250076;SRR2250286;SRR2250637;SRR2251594;SRR2251605
BritoIL_2016__W2.59.SA	SRR2224043;SRR2224049;SRR2244889;SRR2244953;SRR2245406;SRR2243381;SRR2244119;SRR2244303;SRR2245570;SRR2247160;SRR2247392;SRR2248175;SRR2248240
BritoIL_2016__W2.59.ST	SRR2250608;SRR2249284;SRR2250515;SRR2193609;SRR2193820;SRR2193901;SRR2194851;SRR2194893;SRR2194939;SRR2194956;SRR2194997;SRR2192728;SRR2192764;SRR2192779;SRR2193342;SRR2193420;SRR2194050;SRR2194522;SRR2194619
BritoIL_2016__W2.6.ST	SRR2244421;SRR2249199;SRR2226824;SRR2227568;SRR2227618;SRR2228016;SRR2228542;SRR2228559;SRR2228605;SRR2228811;SRR2222830;SRR2222881;SRR2227594;SRR2227657;SRR2227738;SRR2228208
BritoIL_2016__W2.61.SA	SRR2236856;SRR2237519;SRR2244864;SRR2243658;SRR2249084;SRR2243581;SRR2243899;SRR2245637;SRR2245667;SRR2246441;SRR2248189;SRR2248313;SRR2248687
BritoIL_2016__W2.61.ST	SRR2249262;SRR2250363;SRR2191081;SRR2191131;SRR2191149;SRR2191159;SRR2191161;SRR2191447;SRR2191471;SRR2191483;SRR2246257;SRR2193320;SRR2193331;SRR2193436;SRR2193873;SRR2194535;SRR2194850;SRR2194941;SRR2194998
BritoIL_2016__W2.62.ST	SRR2231834;SRR2237632;SRR2249518;SRR2188725;SRR2188744;SRR2188783;SRR2188784;SRR2188981;SRR2188991;SRR2189005;SRR2189023;SRR2192796;SRR2193784;SRR2194041;SRR2194139;SRR2194518;SRR2194536;SRR2194862;SRR2194963
BritoIL_2016__W2.63.SA	SRR2237015;SRR2237499;SRR2237689;SRR2223602;SRR2223825;SRR2243484;SRR2243612;SRR2243807;SRR2243993;SRR2244333;SRR2244680;SRR2246099;SRR2246200
BritoIL_2016__W2.63.ST	SRR2231106;SRR2198949;SRR2199117;SRR2199548;SRR2199565;SRR2199624;SRR2199629;SRR2199665;SRR2199678;SRR2187643;SRR2187657;SRR2187659;SRR2187661;SRR2187665;SRR2187674;SRR2188008;SRR2188073;SRR2245625;SRR2251025
BritoIL_2016__W2.65.SA	SRR2244952;SRR2246310;SRR2249332;SRR2249430;SRR2251189;SRR2251534;SRR2189930;SRR2189940;SRR2189957;SRR2227624;SRR2228029;SRR2228039;SRR2228190;SRR2228191;SRR2223597;SRR2224020;SRR2227595;SRR2227643;SRR2228177;SRR2228379;SRR2228505;SRR2228717
BritoIL_2016__W2.65.ST	SRR2250639;SRR2250558;SRR2227441;SRR2227854;SRR2228033;SRR2228642;SRR2227581;SRR2225799;SRR2236713;SRR2236842;SRR2237509;SRR2250272;SRR2250328;SRR2250487;SRR2250552;SRR2250943
