sampleID	NCBI_accession
BackhedF_2015__SID263_B	ERR525803
BackhedF_2015__SID263_M	ERR525804
BackhedF_2015__SID265_12M	ERR525806
BackhedF_2015__SID265_4M	ERR525807
BackhedF_2015__SID265_B	ERR525808
BackhedF_2015__SID265_M	ERR525809
BackhedF_2015__SID268_12M	ERR525810
BackhedF_2015__SID268_4M	ERR525811
BackhedF_2015__SID268_B	ERR525812
BackhedF_2015__SID268_M	ERR525813
BackhedF_2015__SID272_12M	ERR525816
BackhedF_2015__SID272_4M	ERR525817
BackhedF_2015__SID272_B	ERR525818
BackhedF_2015__SID272_M	ERR525819
BackhedF_2015__SID274_12M	ERR525820
BackhedF_2015__SID274_4M	ERR525821
BackhedF_2015__SID274_B	ERR525822
BackhedF_2015__SID274_M	ERR525823
BackhedF_2015__SID275_12M	ERR525824
BackhedF_2015__SID275_4M	ERR525825
BackhedF_2015__SID275_B	ERR525826
BackhedF_2015__SID275_M	ERR525827
BackhedF_2015__SID276_12M	ERR525828
BackhedF_2015__SID276_4M	ERR525829
BackhedF_2015__SID276_B	ERR525830
BackhedF_2015__SID276_M	ERR525831
BackhedF_2015__SID281_12M	ERR525832
BackhedF_2015__SID281_4M	ERR525833
BackhedF_2015__SID281_B	ERR525834
BackhedF_2015__SID281_M	ERR525835
BackhedF_2015__SID282_12M	ERR525836
BackhedF_2015__SID282_4M	ERR525837
BackhedF_2015__SID282_B	ERR525838
BackhedF_2015__SID282_M	ERR525839
BackhedF_2015__SID326_12M	ERR525840
BackhedF_2015__SID326_4M	ERR525841
BackhedF_2015__SID326_B	ERR525842
BackhedF_2015__SID326_M	ERR525843
BackhedF_2015__SID332_12M	ERR525844
BackhedF_2015__SID332_4M	ERR525845
BackhedF_2015__SID332_B	ERR525846
BackhedF_2015__SID332_M	ERR525847
BackhedF_2015__SID335_12M	ERR525848
BackhedF_2015__SID335_4M	ERR525849
BackhedF_2015__SID335_B	ERR525850
BackhedF_2015__SID335_M	ERR525851
BackhedF_2015__SID338_12M	ERR525852
BackhedF_2015__SID338_4M	ERR525853
BackhedF_2015__SID338_B	ERR525854
BackhedF_2015__SID338_M	ERR525855
BackhedF_2015__SID341_12M	ERR525856
BackhedF_2015__SID341_4M	ERR525857
BackhedF_2015__SID341_B	ERR525858
BackhedF_2015__SID341_M	ERR525859
BackhedF_2015__SID343_12M	ERR525860
BackhedF_2015__SID343_4M	ERR525861
BackhedF_2015__SID343_B	ERR525862
BackhedF_2015__SID343_M	ERR525863
BackhedF_2015__SID345_12M	ERR525864
BackhedF_2015__SID345_4M	ERR525865
BackhedF_2015__SID345_B	ERR525866
BackhedF_2015__SID345_M	ERR525867
BackhedF_2015__SID350_12M	ERR525868
BackhedF_2015__SID350_4M	ERR525869
BackhedF_2015__SID350_B	ERR525870
BackhedF_2015__SID350_M	ERR525871
BackhedF_2015__SID367_12M	ERR525872
BackhedF_2015__SID367_4M	ERR525873
BackhedF_2015__SID367_B	ERR525874
BackhedF_2015__SID367_M	ERR525875
BackhedF_2015__SID377_12M	ERR525876
BackhedF_2015__SID377_4M	ERR525877
BackhedF_2015__SID377_B	ERR525878
BackhedF_2015__SID377_M	ERR525879
BackhedF_2015__SID38_12M	ERR525880
BackhedF_2015__SID38_4M	ERR525885
BackhedF_2015__SID38_B	ERR525894
BackhedF_2015__SID38_M	ERR525895
BackhedF_2015__SID383_12M	ERR525881
BackhedF_2015__SID383_4M	ERR525882
BackhedF_2015__SID383_B	ERR525883
BackhedF_2015__SID383_M	ERR525884
BackhedF_2015__SID385_12M	ERR525886
BackhedF_2015__SID385_4M	ERR525887
BackhedF_2015__SID385_B	ERR525888
BackhedF_2015__SID385_M	ERR525889
BackhedF_2015__SID387_12M	ERR525890
BackhedF_2015__SID387_4M	ERR525891
BackhedF_2015__SID387_B	ERR525892
BackhedF_2015__SID387_M	ERR525893
BackhedF_2015__SID39_12M	ERR525896
BackhedF_2015__SID39_4M	ERR525897
BackhedF_2015__SID39_B	ERR525902
BackhedF_2015__SID39_M	ERR525903
BackhedF_2015__SID397_12M	ERR525898
BackhedF_2015__SID397_4M	ERR525899
BackhedF_2015__SID397_B	ERR525900
BackhedF_2015__SID397_M	ERR525901
BackhedF_2015__SID42_12M	ERR525904
BackhedF_2015__SID42_4M	ERR525905
BackhedF_2015__SID42_B	ERR525906
BackhedF_2015__SID42_M	ERR525907
BackhedF_2015__SID45_12M	ERR525908
BackhedF_2015__SID45_4M	ERR525909
BackhedF_2015__SID45_B	ERR525910
BackhedF_2015__SID45_M	ERR525911
BackhedF_2015__SID503_12M	ERR525912
BackhedF_2015__SID503_4M	ERR525913
BackhedF_2015__SID503_B	ERR525914
BackhedF_2015__SID503_M	ERR525915
BackhedF_2015__SID504_12M	ERR525916
BackhedF_2015__SID504_4M	ERR525917
BackhedF_2015__SID504_B	ERR525918
BackhedF_2015__SID504_M	ERR525919
BackhedF_2015__SID507_12M	ERR525920
BackhedF_2015__SID507_4M	ERR525921
BackhedF_2015__SID507_B	ERR525922
BackhedF_2015__SID507_M	ERR525923
BackhedF_2015__SID51_12M	ERR525925
BackhedF_2015__SID51_4M	ERR525929
BackhedF_2015__SID51_B	ERR525930
BackhedF_2015__SID51_M	ERR525931
BackhedF_2015__SID511_12M	ERR525924
BackhedF_2015__SID511_4M	ERR525926
BackhedF_2015__SID511_B	ERR525927
BackhedF_2015__SID511_M	ERR525928
BackhedF_2015__SID521_12M	ERR525932
BackhedF_2015__SID521_4M	ERR525933
BackhedF_2015__SID521_B	ERR525934
BackhedF_2015__SID521_M	ERR525935
BackhedF_2015__SID526_12M	ERR525936
BackhedF_2015__SID526_4M	ERR525937
BackhedF_2015__SID526_B	ERR525938
BackhedF_2015__SID526_M	ERR525939
BackhedF_2015__SID527_12M	ERR525940
BackhedF_2015__SID527_4M	ERR525941
BackhedF_2015__SID527_B	ERR525942
BackhedF_2015__SID527_M	ERR525943
BackhedF_2015__SID53_12M	ERR525944
BackhedF_2015__SID53_4M	ERR525949
BackhedF_2015__SID53_B	ERR525954
BackhedF_2015__SID53_M	ERR525955
BackhedF_2015__SID532_12M	ERR525945
BackhedF_2015__SID532_4M	ERR525946
BackhedF_2015__SID532_B	ERR525947
BackhedF_2015__SID532_M	ERR525948
